Club, Conference
Chicago Fire, Eastern
Colorado Rapids, Western
Columbus Crew SC, Eastern
D.C. United, Eastern
FC Dallas, Western
Houston Dynamo, Western
LA Galaxy, Western
Montreal Impact, Eastern
New England Revolution, Eastern
New York City FC, Eastern
New York Red Bulls, Eastern
Orlando City SC, Eastern
Philadelphia Union, Eastern
Portland Timbers, Western
Real Salt Lake, Western
San Jose Earthquakes, Western
Seattle Sounders FC, Western
Sporting Kansas City, Western
Toronto FC, Eastern
Vancouver Whitecaps FC, Western
